K	AVG
1	76.1883333333
2	73.965
3	80.33
4	80.075
5	81.6816666667
6	81.655
7	82.525
8	82.4533333333
9	82.8266666667
10	82.8883333333
11	82.98
12	83.015
13	83.09
14	83.0483333333
15	83.055
16	83.0716666667
17	83.0983333333
18	83.09
19	83.0633333333
20	83.0616666667
21	83.0616666667
22	82.9783333333
23	83
24	83.0533333333
25	82.9916666667
26	83.0216666667
27	82.9583333333
28	82.99
29	83.02
30	82.9966666667
31	82.925
32	82.9316666667
33	82.8766666667
34	82.8733333333
35	82.8583333333
36	82.81
37	82.855
38	82.8383333333
39	82.8016666667
40	82.78
41	82.7916666667
42	82.765
43	82.7483333333
44	82.7533333333
45	82.7133333333
46	82.73
47	82.77
48	82.7316666667
49	82.73
50	82.7283333333
51	82.7033333333
52	82.6866666667
53	82.6816666667
54	82.6616666667
55	82.6333333333
56	82.6216666667
57	82.5933333333
58	82.5883333333
59	82.6066666667
60	82.5483333333
61	82.5616666667
62	82.5266666667
63	82.5466666667
64	82.485
65	82.465
66	82.49
67	82.45
68	82.4566666667
69	82.4533333333
70	82.445
71	82.4333333333
72	82.4283333333
73	82.395
74	82.4033333333
75	82.3883333333
76	82.3533333333
77	82.335
78	82.31
79	82.3366666667
80	82.325
81	82.3533333333
82	82.335
83	82.3416666667
84	82.33
85	82.3166666667
86	82.2933333333
87	82.2733333333
88	82.265
89	82.2666666667
90	82.2566666667
91	82.2316666667
92	82.22
93	82.225
94	82.205
95	82.2
96	82.1833333333
97	82.18
98	82.1716666667
99	82.175
100	82.1716666667
